nohup: ignoring input
 * Running on http://0.0.0.0:6400/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Apr/2018 20:37:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 20:37:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Apr/2018 20:37:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Apr/2018 20:37:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Apr/2018 20:39:38] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 20:40:50] "GET /language?text=Language%20Detection%20API%20-%20Usage:%20%27text%27%20POST%20parameter HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 20:41:45] "GET /language?text=Language%20Detection%20API%20-%20Usage:%20%27text%27%20POST%20parameter HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 20:41:45] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Apr/2018 21:48:36] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:51:37] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:51:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:51:52] "GET //language HTTP/1.1" 301 -
127.0.0.1 - - [07/Apr/2018 21:51:53] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 21:58:02] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:58:03] "GET //language HTTP/1.1" 301 -
127.0.0.1 - - [07/Apr/2018 21:58:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 21:58:18] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:59:42] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 21:59:58] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:22] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:24] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:36] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:37] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:47] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 22:02:48] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:03:26] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Apr/2018 22:03:27] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:09:27] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:12:14] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:12:15] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:12:30] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:12:31] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:15:18] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:15:19] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:15:20] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:15:21] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:03] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:04] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:05] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:06] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:47] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:48] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:49] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:19:50] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:20:10] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:20:11] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:20:12] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:20:13] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:21:07] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2018 22:21:08] "GET /language HTTP/1.1" 200 -
